date,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,UVI,Cloud Amount
2022-06-22,1008.0625,1011.1083333333332,30.583333333333332,24.129166666666666,68.83333333333333,2.5708333333333333,200.0,5.0875,182.91666666666666,0.0,0.0,2.9166666666666665,5.210833333333333
2022-06-23,1008.4291666666667,1011.475,30.8625,24.483333333333334,69.33333333333333,2.9875000000000003,181.66666666666666,6.758333333333333,192.91666666666666,0.0,0.0,3.0833333333333335,5.4375
2022-06-24,1006.4041666666667,1009.4500000000002,30.23333333333333,23.945833333333336,69.33333333333333,3.366666666666667,157.5,7.045833333333333,168.33333333333334,0.0,0.0,2.7083333333333335,7.969583333333333
2022-06-25,1006.1208333333334,1009.1583333333334,29.57083333333333,24.083333333333332,72.83333333333333,4.366666666666667,165.41666666666666,9.2125,176.25,6.0,0.4,2.625,8.817916666666667
2022-06-26,1007.7416666666667,1010.8000000000001,29.729166666666668,24.245833333333337,72.58333333333333,2.1458333333333335,202.5,4.866666666666666,176.25,0.0,0.0,2.8333333333333335,8.619583333333333
2022-06-27,1006.1416666666668,1009.1916666666666,30.2375,24.400000000000002,71.29166666666667,2.3249999999999997,187.08333333333334,5.120833333333334,195.41666666666666,0.0,0.3,2.25,8.319583333333334
2022-06-28,1003.2208333333333,1006.275,29.479166666666668,24.40833333333333,74.83333333333333,2.1624999999999996,171.25,4.716666666666667,166.25,2.5,1.4,1.7916666666666667,6.692916666666666
2022-06-29,1001.8833333333332,1004.9416666666666,28.3625,24.570833333333336,80.25,1.9583333333333333,98.75,5.008333333333333,107.08333333333333,1.0,2.8,0.9583333333333334,7.404166666666666
2022-06-30,1001.8833333333332,1004.9333333333333,29.391666666666666,23.90416666666667,72.79166666666667,2.0166666666666666,156.25,4.762499999999999,169.16666666666666,2.0,1.4,2.375,8.307083333333333
2022-07-01,1003.0791666666668,1006.1374999999999,28.77916666666667,24.97083333333333,80.58333333333333,1.8833333333333335,175.83333333333334,4.5375000000000005,162.91666666666666,24.5,4.2,1.9583333333333333,9.047083333333333
2022-07-02,1004.2125,1007.275,27.9875,24.475000000000005,81.875,3.2791666666666663,148.33333333333334,7.183333333333334,156.25,32.0,3.8,3.0,10.0
